#{"t_start": 1713060312.560961, "env_id": "SingleDC-v0"}
r,l,t,ep_job_wait_rew_mean,ep_util_rew_mean,ep_valid_count
-549.620535,2289,644.984109,0.05907218899228349,0.007006553079947132,154
-463.039034,1989,647.845422,0.0553181072557833,0.007202036199094683,122
-308.300504,1324,649.897902,0.05329390255666364,0.01199705438066512,162
-284.695573,1232,651.864572,0.0526600712823794,0.011952759740260109,154
-522.268838,2264,655.035132,0.054689477490648813,0.007298586572437689,160
-331.573894,1666,657.583198,0.0384603854917612,0.009881902761104107,140
-386.674759,1864,659.917095,0.04333658342385218,0.008875670600858015,160
-263.140652,1148,661.734423,0.05017564761346039,0.013381228222996902,138
-278.361601,1265,663.743438,0.046813020158186225,0.013398616600790798,174
-590.876824,2380,667.063423,0.06300960952905404,0.006320042016806384,138
-488.856543,2086,670.137154,0.05592588411878327,0.00815630393096802,168
-591.507899,2397,673.444909,0.062102797124380604,0.006459386733416379,134
-558.154693,2326,676.682977,0.05929411512807407,0.006320507308684097,136
-430.927845,1724,679.33164,0.06230407786289567,0.009457830626450019,164
-565.32096,2358,682.657073,0.05936239700373552,0.006385877862595047,150
-179.619056,813,684.184535,0.043237669444709075,0.019263653136531174,146
-482.358313,2134,687.13707,0.05205519713798001,0.0083296391752573,174
-570.195984,2351,690.449902,0.06055744050118877,0.006568545299872004,156
-511.314486,2207,693.666111,0.05556826852301512,0.007316425011327114,178
-517.295205,2203,696.774696,0.056982951533419646,0.006706491148433673,148
-566.575937,2343,700.135513,0.059625083985913166,0.007418950064020009,168
-307.397459,1324,702.152921,0.05279596401365601,0.012052114803625853,158
-487.838038,2177,705.26395,0.0513742155695556,0.008351148369315076,188
-483.988846,2136,708.271042,0.052670824359329085,0.007284691011235512,142
-510.171344,2197,711.36237,0.05492895081025825,0.007639144287664637,150
-557.083453,2329,714.627879,0.05877812539175031,0.0067575354229278736,150
-502.481755,2199,717.727559,0.05368889940811077,0.0076579809004088265,172
-514.846345,2238,720.93187,0.05480918458591555,0.007452144772117471,186
-561.710022,2320,724.223108,0.06041715943057137,0.006483491379309961,152
-345.354728,1422,726.448729,0.05858788858144037,0.010575000000000435,154
-328.557761,1371,728.515633,0.05680364159789032,0.010764551422319846,144
-583.282831,2329,731.866024,0.06399232458565239,0.006334972091025818,136
-577.216707,2369,735.187671,0.06138305949026448,0.0062245884339380405,156
-569.867831,2333,738.538509,0.06132052033393224,0.006067188169738237,128
-333.485347,1362,740.723524,0.05818392535590696,0.011293612334802194,130
-627.76235,2430,744.031472,0.06765228703715938,0.005933333333333106,126
-502.044442,2194,747.153361,0.053992296614698274,0.007343163172287573,164
-581.053158,2355,750.495683,0.06242066713128321,0.006130891719744924,132
-559.93523,2303,753.748588,0.06003195979151192,0.007113438992617869,140
-590.087798,2382,757.159748,0.06296746821606278,0.006494962216624289,158
-521.029383,2248,760.796048,0.05588915594218324,0.006932562277579613,176
-502.110486,2195,763.851748,0.05396545272690782,0.006884077448746686,142
-498.740684,2185,767.064723,0.0540343285074932,0.007017528604118626,162
-560.012575,2341,770.324368,0.05930380552086652,0.006382080307560533,158
-480.851567,2132,773.362412,0.052531920757005426,0.007718175422138374,178
-562.926865,2309,776.688194,0.0605997138963918,0.006642420961454777,130
-510.10587,2227,779.860167,0.05460394774797457,0.00718888639425189,184
-430.913587,2001,782.695915,0.047335364377125794,0.007855097451274003,146
-478.376401,2120,785.82514,0.05214871711055824,0.007874575471697724,164
-303.742753,1316,787.885676,0.051013023342541895,0.013116337386018554,154
-472.090517,2127,791.075787,0.05066287393610561,0.008065726375175867,182
-571.533844,2355,794.397202,0.06045608488914468,0.006849745222929486,162
-552.531514,2285,797.639091,0.05962441185302885,0.006749409190371564,130
-426.509238,1980,800.682257,0.047270281351814526,0.008345454545454063,162
-511.839242,2208,803.836087,0.05539916615713102,0.007054483695651697,154
-546.36299,2260,806.945024,0.05958756446607078,0.006790022123893376,130
-446.719518,2033,809.906165,0.04897906206806181,0.008619945892768825,168
-460.693205,2072,812.864816,0.0500147645110164,0.008731346525096013,170
-426.296227,1977,815.704283,0.04700627320523889,0.00880470409711638,166
-537.980047,2251,818.919236,0.05817215504510227,0.0072147934251438756,142
-546.160746,2295,822.160427,0.05815249925631368,0.007035882352940687,158
-484.744218,2149,825.33221,0.05199755608415492,0.008109422987435555,172
-561.202513,2303,828.985724,0.0603116287562209,0.007120473295700793,142
-473.323979,2106,832.096661,0.05152008089824739,0.00824999999999952,170
-177.093551,802,833.079569,0.04307630691581551,0.019482418952618263,146
-588.595389,2394,836.536658,0.06200759199262718,0.006149436090225246,134
-444.423035,2024,839.502372,0.04927523020167782,0.008536215415019272,180
-548.26639,2295,842.731659,0.058594194185146185,0.0068894117647054585,152
-554.258866,2293,845.907581,0.059682769132973795,0.006955473179240711,146
-481.452254,2058,848.843417,0.05597695057799091,0.007358090379008445,140
-544.595623,2276,852.066256,0.059247882427028865,0.006471814586994385,154
-309.524382,1317,854.165282,0.05369705521964952,0.0120515945330301,146
-575.978756,2343,857.511982,0.0619002092279945,0.0063351472471187414,136
-544.080824,2263,860.722054,0.059691679491762795,0.0064821475916921134,150
-499.202288,2173,863.971278,0.05457203396816795,0.006746893695351675,142
-557.993935,2298,867.619888,0.06054084886699765,0.006429242819842999,138
-442.290447,2020,870.509531,0.04893203028861263,0.0075386138613858285,132
-319.54799,1336,872.188639,0.05551470467705447,0.011698315868263944,136
-569.036776,2323,875.466645,0.061429121466790734,0.006126431338785752,120
-573.544928,2337,878.78681,0.06141506956712316,0.00614172015404333,110
-474.236418,2094,881.906479,0.05300682340724685,0.007043982808022514,146
-543.385471,2246,885.510798,0.06017427071056152,0.0064212154942116404,136
-518.4821,2189,888.590319,0.05777270206720408,0.00656806761078081,134
-506.456364,2197,891.781768,0.05485788057714574,0.006990259444696871,152
-547.099692,2273,894.99702,0.0595347608873291,0.006391267047953904,132
-524.190999,2235,898.151795,0.05673906028552788,0.006782617449663999,148
-564.71459,2320,901.426587,0.06091168767950225,0.006300193965516924,138
-447.274072,2034,904.275087,0.04970886549092494,0.007387168141592478,142
-550.245818,2290,907.485635,0.059542234885093206,0.006610873362445037,154
-552.721468,2304,910.658357,0.059353997654742884,0.006294726562499735,138
-490.823471,2136,913.661276,0.05435255700493194,0.006958567415729905,138
-592.168621,2381,917.359516,0.06338718164939736,0.005987400251994692,130
-500.322689,2152,920.404242,0.05572005579836298,0.006912476765798856,144
-528.619531,2236,923.592817,0.05794002199032789,0.006625626118067613,158
-544.468839,2278,926.882636,0.05911353280342153,0.0064839113257239706,154
-506.123504,2170,929.963775,0.056017224429666064,0.0068010138248843464,138
-452.418029,2053,932.950667,0.0502053643813344,0.0071609839259616235,146
-535.346387,2262,936.150277,0.05808270292194492,0.006402652519893559,150
-474.955173,2109,939.119929,0.052388230367283455,0.007452844950212917,164
-484.404904,2135,942.195808,0.05335143174902901,0.007204637002341464,164
-575.113325,2359,945.505224,0.06148028671813109,0.006317931326833065,162
-556.624276,2335,948.785946,0.05861645570117586,0.006816488222697626,164
-514.86446,2211,951.942935,0.055899008155221024,0.006861736770691564,146
-548.218282,2282,955.13341,0.05930619062706009,0.006442375109552689,134
-352.826941,1798,957.791368,0.038498761754041315,0.010061929922135298,210
-537.659185,2265,961.059079,0.05711248704349546,0.00800523178807897,166
-507.37493,2184,964.641518,0.05523645539680459,0.007354532967032508,148
-432.023742,2009,967.442056,0.04702729408887073,0.008460851169735755,166
-524.035167,2221,970.590319,0.05654361786344552,0.007346893291309728,134
-475.149691,2101,973.645765,0.05258160912101491,0.007186292241789194,140
-512.944664,2198,976.72596,0.05546417153082647,0.007991287534121441,168
-283.695829,1274,978.331542,0.04794789876854463,0.01319270015698628,168
-472.141201,2122,981.326136,0.050968374321802394,0.007506432610744138,158
-557.349671,2291,984.520802,0.060488302961372656,0.006775927542557424,142
-581.901194,2384,988.31442,0.06124307361722981,0.006389282718120442,148
-537.787739,2275,991.568316,0.057456343976372934,0.006846725274724838,148
-602.927339,2416,994.977947,0.0637640946213232,0.006143729304635443,140
-495.788274,2169,998.099782,0.05363159211996739,0.007797510373443515,172
-539.989396,2270,1001.31224,0.057661334034265585,0.007636123348017159,164
-515.746536,2202,1004.396132,0.05618226217974761,0.007526158038146635,162
-559.797527,2306,1007.712153,0.06015862417347096,0.00685303555940979,142
-455.938376,2066,1010.703574,0.04974642759876709,0.008003944820909483,158
-573.680632,2344,1014.00565,0.0611029797452422,0.006527687713310205,130
-490.174476,2152,1017.482824,0.05328097775364221,0.007522235130111041,158
-573.25538,2325,1020.757211,0.061917944464263026,0.0064347096774190135,124
-555.537758,2276,1023.930602,0.06075667440040475,0.006612390158171863,128
-528.15049,2255,1027.082357,0.0565310733507812,0.006937982261640354,154
-581.278565,2348,1030.398727,0.062376854465742315,0.0063647785349229755,122
-584.906809,2360,1033.734738,0.06267390428569893,0.006371885593219975,132
-560.8032,2325,1037.016441,0.059642167750272125,0.0064939354838705905,134
-165.214268,784,1038.388471,0.03870474568262774,0.019619770408163113,148
-563.942181,2350,1041.730682,0.05947720490244183,0.006498957446808136,156
-525.851421,2249,1044.851298,0.05698240976773997,0.006796220542462882,178
-569.622542,2358,1048.111121,0.06019361483681556,0.006375572519083608,150
-549.972871,2300,1051.277704,0.059118431201781806,0.006458869565217042,152
-511.094303,2212,1054.388993,0.055462154770538445,0.007255944846292465,184
-546.800892,2293,1057.612443,0.05867267822963794,0.006462690798080796,144
-334.001098,1375,1059.751871,0.05796494114213522,0.01105723636363676,144
-594.21232,2375,1063.040752,0.06401298692021574,0.0062651368421049545,142
-532.746281,2254,1066.286198,0.05760285120113148,0.006791925465838092,152
-449.682218,2038,1069.319648,0.0504554701974379,0.007501840039253754,166
-562.198309,2343,1072.568664,0.05945767774834859,0.00632304737515971,146
-304.879176,1303,1074.609232,0.05365263192937673,0.011267267843438638,134
-464.482732,2076,1077.541095,0.051649797467330595,0.007110910404623988,142
-297.961196,1310,1079.588612,0.05097751018415693,0.011871755725191346,160
-170.273702,816,1080.648628,0.04009119575017427,0.01873621323529392,180
-547.585285,2290,1083.811828,0.059227916331378014,0.006205873362445118,144
-543.280332,2285,1087.037726,0.05872752699765022,0.006336433260393569,156
-635.664195,2451,1090.795646,0.0683119084759912,0.005598286413708486,120
-173.733994,812,1091.870552,0.040804799655033586,0.01923251231527071,158
-542.541467,2318,1095.141025,0.057198041522825226,0.006310871440896981,164
-470.874319,2140,1098.2681,0.0507468194206088,0.007768808411214502,214
-399.577237,1902,1101.054598,0.045579472570947306,0.008074447949526551,174
-327.513818,1349,1103.07226,0.05777673696165725,0.011012157153447392,136
-561.69319,2358,1106.426096,0.05908476912373873,0.0063910305343507865,172
-501.328698,2213,1109.546124,0.0539137206879602,0.006729258924536435,182
-564.336476,2357,1112.877697,0.059602466761149206,0.0062339414509967,162
-697.517891,2593,1116.590302,0.0724753185655007,0.00548382182799824,110
-459.183175,2072,1119.55226,0.0511577841996008,0.007173503861003433,166
-634.823789,2489,1123.48481,0.06657085374235652,0.005625090397749876,134
-511.714921,2237,1126.624442,0.05470968455352907,0.006486879749664381,162
